Emittent;BaFin-ID;ISIN;Meldepflichtiger;Position / Status;Art des Instruments;Art des Geschäfts;Durchschnittspreis;Aggregiertes Volumen;Mitteilungsdatum;Datum des Geschäfts;Ort des Geschäfts;Datum der Aktivierung
Ekotechnika AG;40020213;DE000A161234;Buwitt, Lars Bjarne;Aufsichtsrat;Aktie;Kauf;19,20 EUR;1.920,00 EUR;07.03.2023;06.03.2023;Börse Düsseldorf;08.03.2023 09:54:35
WR Wohnraum AG;40031409;DE000A2P8KF6;ELF Partners Group AG;in enger Beziehung;Aktie;Verkauf;21,00 EUR;12.917.331,00 EUR;08.03.2023;06.03.2023;;09.03.2023 09:53:12
WR Wohnraum AG;40031409;DE000A2P8KF6;Matador Secondary Private Equity AG;in enger Beziehung;Aktie;Kauf;21,00 EUR;12.917.331,00 EUR;08.03.2023;06.03.2023;;09.03.2023 09:47:09
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;27,30 EUR;7.289,10 EUR;07.03.2023;06.03.2023;Xetra;08.03.2023 10:16:53
SynBiotic SE;40030289;DE000A3E5A59;MARKTFLAGGE GmbH;in enger Beziehung;Aktie;Sonstiges;0,00 EUR;0,00 EUR;05.03.2023;05.03.2023;;07.03.2023 06:01:32
SynBiotic SE;40030289;DE000A3E5A59;doinglean Ventures GmbH;in enger Beziehung;Aktie;Sonstiges;0,00 EUR;0,00 EUR;05.03.2023;05.03.2023;;07.03.2023 06:01:32
FRoSTA AG;40000841;DE0006069008;Ahlers, Felix;Vorstand;Aktie;Sonstiges;60,00 EUR;6.023,12 EUR;06.03.2023;03.03.2023;Börse Frankfurt;07.03.2023 06:01:32
Deutsche Beteiligungs AG;40000951;DE000A1TNUT7;Hunecke, Jannick;Vorstand;Aktie;Sonstiges;30,80 EUR;50.827,10 EUR;03.03.2023;03.03.2023;XETRA;07.03.2023 06:01:32
Deutsche Beteiligungs AG;40000951;DE000A1TNUT7;Alzin, Tom;Vorstand;Aktie;Sonstiges;30,76 EUR;50.751,38 EUR;03.03.2023;03.03.2023;XETRA;07.03.2023 06:01:32
Bayer Aktiengesellschaft;40001030;DE000BAY0017;Cousin, Ertharin;Aufsichtsrat;Aktie;Sonstiges;15,27 USD;74.059,50 USD;07.03.2023;03.03.2023;;07.03.2023 14:10:27
Elmos Semiconductor SE;40001726;DE0005677108;Schellenberg, Sven-Olaf;Aufsichtsrat;Aktie;Verkauf;78,26 EUR;54.780,00 EUR;06.03.2023;03.03.2023;Tradegate;07.03.2023 06:01:32
Neon Equity AG;40029518;DE000A3DW408;TO Holding 1 GmbH;in enger Beziehung;Aktie;Kauf;11,19 EUR;8.950,00 EUR;07.03.2023;03.03.2023;Xetra;08.03.2023 10:05:22
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Babelsberger Beteiligungs GmbH;in enger Beziehung;Aktie;Verkauf;7,90 EUR;1.374.157,60 EUR;08.03.2023;03.03.2023;;09.03.2023 10:06:24
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Capital KGaA;in enger Beziehung;Aktie;Sonstiges;;;20.03.2023;03.03.2023;;20.03.2023 16:01:14
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Capital KGaA;in enger Beziehung;Aktie;Kauf;7,90 EUR;1.374.157,60 EUR;20.03.2023;03.03.2023;;20.03.2023 15:55:17
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;27,23 EUR;24.589,90 EUR;07.03.2023;03.03.2023;Xetra;08.03.2023 10:10:57
Neon Equity AG;40029518;DE000A3DW408;TO Holding 1 GmbH;in enger Beziehung;Aktie;Verkauf;11,00 EUR;1.100.000,00 EUR;07.03.2023;03.03.2023;;08.03.2023 10:05:22
FRoSTA AG;40000841;DE0006069008;Ahlers, Felix;Vorstand;Aktie;Sonstiges;60,00 EUR;18.060,30 EUR;06.03.2023;02.03.2023;Börse Frankfurt;07.03.2023 06:01:32
BASF SE;40000910;DE000BASF111;Maas-Brunner, Dr. Melanie;Vorstand;Aktie;Kauf;47,79 EUR;57.352,30 EUR;02.03.2023;02.03.2023;XETRA;07.03.2023 06:01:32
Biofrontera AG;40005059;DE0006046113;Deutsche Balaton Aktiengesellschaft;in enger Beziehung;Aktie;Kauf;1,27 EUR;152,40 EUR;06.03.2023;02.03.2023;Berlin Tradegate;07.03.2023 14:10:27
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;27,30 EUR;22.443,80 EUR;03.03.2023;02.03.2023;Xetra;07.03.2023 06:01:32
